DIST_CODE,DISTRICT_NAME
014906,Ashford ISD
015822,Belmont ISD
015828,Caldwell USD
015907,Dalton ISD
015910,Easton ISD
015911,Fairview USD
015912,Garrison ISD
015915,Harwood ISD
015916,Irving USD
015917,Jackson ISD
020901,Kingston ISD
020902,Lakewood USD
020908,Monroe ISD
021902,Norton ISD
031903,Oakdale USD
037904,Pineview ISD
043902,Quincy ISD
043905,Riverside USD
043910,Shelton ISD
057803,Thornton ISD
057903,Uniondale USD
057905,Vernon ISD
057907,Westfield ISD
057909,Yorktown USD
057910,Zephyr ISD
057912,Arlington ISD
057913,Bradford USD
057914,Clifton ISD
057916,Dover ISD
061901,Edgewood USD
061902,Franklin ISD
061911,Glenwood ISD
068901,Hillcrest USD
070912,Inglewood ISD
071901,Junction ISD
071905,Kearney USD
079901,Lincoln ISD
079907,Midland ISD
084901,Newcastle USD
084902,Oxford ISD
084910,Parkville ISD
093904,Queenston USD
094901,Ridgewood ISD
094902,Sunnyvale ISD
101902,Timberline USD
101903,Upland ISD
101907,Valencia ISD
101910,Walton USD
101911,Aberdeen ISD
101912,Brookfield ISD
101913,Coronado USD
101914,Dunmore ISD
101915,Elwood ISD
101916,Ferndale USD
101917,Granville ISD
101919,Highfield ISD
101920,Irondale USD
101921,Jasper ISD
102904,Kentwood ISD
105906,Lawton USD
108904,Millbrook ISD
108906,Newbury ISD
108909,Oleander USD
123910,Peakview ISD
126903,Quimby ISD
126905,Rosewood USD
129901,Springdale ISD
129903,Tipton ISD
130901,Utica USD
133903,Vicksburg ISD
146901,Waverly ISD
152901,Alton USD
152907,Bainbridge ISD
161914,Cedarville ISD
165901,Deerfield USD
170908,Emerson ISD
174904,Fallbrook ISD
175903,Greendale USD
178904,Hamilton ISD
182903,Ironwood ISD
187907,Jennings USD
188901,Kirkwood ISD
199902,Lakeshore ISD
212905,Marlboro USD
220901,Newfield ISD
220902,Orchard ISD
220904,Palmdale USD
220907,Quaker ISD
220908,Redwood ISD
220916,Sandalwood USD
220918,Thornfield ISD
225902,Underwood ISD
226903,Valmont USD
227820,Whitmore ISD
227901,Xavier ISD
230902,Yearling USD
233901,Zenith ISD
237904,Clearwater ISD
243905,Crestmoor USD
246906,Driftwood ISD
246908,Eagleview ISD
246909,Foxwood USD
