DIST_CODE,ASSESSMENT SUBJECT,DATA_CATEGORY_GROUP,DATA_CATEGORY,ECDS_REPORTED,BOTH_BOY_EOY_ASSESSED,MATCH_PROFICIENT_BOY,MATCH_PROFICIENT_EOY,ECDS_REPORTED_suppress,BOTH_BOY_EOY_ASSESSED_suppress,MATCH_PROFICIENT_BOY_suppress,MATCH_PROFICIENT_EOY_suppress,ECDS_REPORTED_noisy_pp,BOTH_BOY_EOY_ASSESSED_noisy_pp,MATCH_PROFICIENT_BOY_noisy_pp,MATCH_PROFICIENT_EOY_noisy_pp
014906,Emergent Literacy Reading,Race/Ethnicity,Black or African American,837,618,323,508,837,618,323,508,839,618,323,508
014906,Emergent Literacy Reading,Race/Ethnicity,Hispanic/Latino,921,682,286,567,921,682,286,567,920,682,287,567
014906,Emergent Literacy Reading,Race/Ethnicity,Other,346,263,136,233,346,263,136,233,346,263,139,235
014906,Emergent Literacy Reading,Race/Ethnicity,White,369,260,128,224,369,260,128,224,370,261,129,226
014906,Emergent Literacy Reading,Homeless,Homeless,50,19,9,19,50,19,NA,19,46,18,7,18
014906,Emergent Literacy Reading,In Foster Care,In Foster Care,43,25,17,22,43,25,17,22,43,24,18,22
014906,Emergent Literacy Writing,Race/Ethnicity,Black or African American,837,624,562,550,837,624,562,550,835,623,562,551
014906,Emergent Literacy Writing,Race/Ethnicity,Hispanic/Latino,921,681,617,631,921,681,617,631,921,682,616,630
014906,Emergent Literacy Writing,Race/Ethnicity,Other,346,265,244,244,346,265,244,244,345,267,244,243
014906,Emergent Literacy Writing,Race/Ethnicity,White,369,259,240,242,369,259,240,242,368,259,242,243
014906,Emergent Literacy Writing,Homeless,Homeless,50,21,21,21,50,21,21,21,51,21,21,21
014906,Emergent Literacy Writing,In Foster Care,In Foster Care,43,25,25,19,43,25,25,19,44,25,25,19
014906,Health and Wellness,Race/Ethnicity,Black or African American,837,621,597,535,837,621,597,535,837,623,595,536
014906,Health and Wellness,Race/Ethnicity,Hispanic/Latino,921,680,664,605,921,680,664,605,921,679,666,606
014906,Health and Wellness,Race/Ethnicity,Other,346,265,261,237,346,265,261,237,346,266,261,236
014906,Health and Wellness,Race/Ethnicity,White,369,259,251,229,369,259,251,229,369,256,251,231
014906,Health and Wellness,Homeless,Homeless,50,21,21,21,50,21,21,21,47,23,21,22
014906,Health and Wellness,In Foster Care,In Foster Care,43,25,13,21,43,25,13,21,42,27,13,21
014906,Language and Communication,Race/Ethnicity,Black or African American,837,617,284,455,837,617,284,455,838,618,282,452
014906,Language and Communication,Race/Ethnicity,Hispanic/Latino,921,681,335,516,921,681,335,516,919,683,336,515
014906,Language and Communication,Race/Ethnicity,Other,346,263,134,200,346,263,134,200,347,263,133,201
014906,Language and Communication,Race/Ethnicity,White,369,258,156,206,369,258,156,206,368,258,155,207
014906,Language and Communication,Homeless,Homeless,50,19,9,19,50,19,NA,19,49,19,8,19
014906,Language and Communication,In Foster Care,In Foster Care,43,25,11,21,43,25,11,21,44,26,10,21
014906,Mathematics,Race/Ethnicity,Black or African American,837,618,506,557,837,618,506,557,838,619,507,555
014906,Mathematics,Race/Ethnicity,Hispanic/Latino,921,682,550,625,921,682,550,625,922,681,550,623
014906,Mathematics,Race/Ethnicity,Other,346,263,220,249,346,263,220,249,346,262,220,249
014906,Mathematics,Race/Ethnicity,White,369,260,234,248,369,260,234,248,369,261,234,247
014906,Mathematics,Homeless,Homeless,50,20,20,20,50,20,20,20,51,19,19,19
014906,Mathematics,In Foster Care,In Foster Care,43,25,20,24,43,25,20,24,43,26,21,25
015822,Emergent Literacy Reading,Race/Ethnicity,Black or African American,9,9,2,9,NA,NA,NA,NA,8,8,3,8
015822,Emergent Literacy Reading,Race/Ethnicity,Hispanic/Latino,351,270,104,244,351,270,104,244,351,270,103,244
015822,Emergent Literacy Reading,Race/Ethnicity,Other,16,7,6,7,16,NA,NA,NA,16,8,5,6
015822,Emergent Literacy Reading,Race/Ethnicity,White,11,6,3,6,NA,NA,NA,NA,11,7,3,7
015822,Emergent Literacy Reading,Homeless,Homeless,11,6,3,6,11,NA,NA,NA,11,4,4,4
015822,Emergent Literacy Reading,In Foster Care,In Foster Care,5,3,1,2,NA,NA,NA,NA,6,3,0,1
015822,Emergent Literacy Writing,Race/Ethnicity,Black or African American,9,9,8,8,NA,NA,NA,NA,8,8,7,7
015822,Emergent Literacy Writing,Race/Ethnicity,Hispanic/Latino,351,271,257,262,351,271,257,262,350,273,258,260
015822,Emergent Literacy Writing,Race/Ethnicity,Other,16,8,7,8,16,NA,NA,NA,16,8,7,7
015822,Emergent Literacy Writing,Race/Ethnicity,White,11,6,6,6,NA,NA,NA,NA,11,6,5,6
015822,Emergent Literacy Writing,Homeless,Homeless,11,6,6,6,11,NA,NA,NA,11,7,7,7
015822,Emergent Literacy Writing,In Foster Care,In Foster Care,5,3,2,3,NA,NA,NA,NA,5,1,1,1
015822,Health and Wellness,Race/Ethnicity,Black or African American,9,9,3,8,NA,NA,NA,NA,10,8,3,8
015822,Health and Wellness,Race/Ethnicity,Hispanic/Latino,351,271,265,262,351,271,265,262,351,270,266,263
015822,Health and Wellness,Race/Ethnicity,Other,16,12,12,8,16,12,12,NA,15,12,12,10
015822,Health and Wellness,Race/Ethnicity,White,11,6,6,6,NA,NA,NA,NA,12,5,5,5
015822,Health and Wellness,Homeless,Homeless,11,6,6,6,11,NA,NA,NA,10,7,7,4
015822,Health and Wellness,In Foster Care,In Foster Care,5,3,3,2,NA,NA,NA,NA,4,4,1,1
015822,Language and Communication,Race/Ethnicity,Black or African American,9,9,2,7,NA,NA,NA,NA,8,8,2,7
015822,Language and Communication,Race/Ethnicity,Hispanic/Latino,351,270,125,207,351,270,125,207,350,269,125,207
015822,Language and Communication,Race/Ethnicity,Other,16,7,7,7,16,NA,NA,NA,16,5,5,5
015822,Language and Communication,Race/Ethnicity,White,11,6,5,6,NA,NA,NA,NA,11,5,5,5
015822,Language and Communication,Homeless,Homeless,11,6,4,6,11,NA,NA,NA,10,7,6,3
015822,Language and Communication,In Foster Care,In Foster Care,5,3,1,2,NA,NA,NA,NA,6,2,1,0
015822,Mathematics,Race/Ethnicity,Black or African American,9,9,6,8,NA,NA,NA,NA,9,9,6,8
015822,Mathematics,Race/Ethnicity,Hispanic/Latino,351,268,227,253,351,268,227,253,350,270,228,253
015822,Mathematics,Race/Ethnicity,Other,16,7,5,7,16,NA,NA,NA,15,8,5,8
015822,Mathematics,Race/Ethnicity,White,11,6,6,6,NA,NA,NA,NA,10,9,7,6
015822,Mathematics,Homeless,Homeless,11,6,6,6,11,NA,NA,NA,10,5,5,5
015822,Mathematics,In Foster Care,In Foster Care,5,3,2,2,NA,NA,NA,NA,4,4,1,3
015828,Emergent Literacy Reading,Race/Ethnicity,Black or African American,45,36,25,24,45,36,25,24,47,36,24,21
015828,Emergent Literacy Reading,Race/Ethnicity,Hispanic/Latino,140,99,40,72,140,99,40,72,140,97,39,71
015828,Emergent Literacy Reading,Race/Ethnicity,Other,16,11,9,11,16,11,NA,11,15,9,9,9
015828,Emergent Literacy Reading,Race/Ethnicity,White,24,21,9,15,24,21,NA,15,26,21,8,14
015828,Emergent Literacy Reading,Homeless,Homeless,8,5,2,4,NA,NA,NA,NA,7,3,3,3
015828,Emergent Literacy Reading,In Foster Care,In Foster Care,3,1,1,1,NA,NA,NA,NA,3,2,0,0
015828,Emergent Literacy Writing,Race/Ethnicity,Black or African American,45,36,21,21,45,36,21,21,45,38,20,21
015828,Emergent Literacy Writing,Race/Ethnicity,Hispanic/Latino,140,100,93,91,140,100,93,91,141,99,93,90
015828,Emergent Literacy Writing,Race/Ethnicity,Other,16,11,11,11,16,11,11,11,17,11,11,10
