DIST_CODE,ASSESSMENT SUBJECT,DATA_CATEGORY_GROUP,DATA_CATEGORY,ECDS_REPORTED,BOTH_BOY_EOY_ASSESSED,MATCH_PROFICIENT_EOY,ECDS_REPORTED_suppress,BOTH_BOY_EOY_ASSESSED_suppress,MATCH_PROFICIENT_EOY_suppress,ECDS_REPORTED_noisy_pp,BOTH_BOY_EOY_ASSESSED_noisy_pp,MATCH_PROFICIENT_EOY_noisy_pp
014906,Reading,Race/Ethnicity,Black or African American,837,618,508,837,618,508,837,618,508
014906,Reading,Race/Ethnicity,Hispanic/Latino,921,682,567,921,682,567,921,681,569
014906,Reading,Race/Ethnicity,Other,346,263,233,346,263,233,346,264,234
014906,Reading,Race/Ethnicity,White,369,260,224,369,260,224,368,260,224
014906,Reading,Homeless,Homeless,50,19,19,50,19,19,50,19,18
014906,Reading,In Foster Care,In Foster Care,43,25,22,43,25,22,43,25,21
014906,Writing,Race/Ethnicity,Black or African American,837,624,550,837,624,550,835,625,550
014906,Writing,Race/Ethnicity,Hispanic/Latino,921,681,631,921,681,631,921,679,631
014906,Writing,Race/Ethnicity,Other,346,265,244,346,265,244,345,263,245
014906,Writing,Race/Ethnicity,White,369,259,242,369,259,242,368,260,242
014906,Writing,Homeless,Homeless,50,21,21,50,21,21,50,21,21
014906,Writing,In Foster Care,In Foster Care,43,25,19,43,25,19,43,24,20
014906,Health,Race/Ethnicity,Black or African American,837,621,535,837,621,535,836,620,537
014906,Health,Race/Ethnicity,Hispanic/Latino,921,680,605,921,680,605,922,680,607
014906,Health,Race/Ethnicity,Other,346,265,237,346,265,237,346,264,237
014906,Health,Race/Ethnicity,White,369,259,229,369,259,229,371,260,230
014906,Health,Homeless,Homeless,50,21,21,50,21,21,50,21,21
014906,Health,In Foster Care,In Foster Care,43,25,21,43,25,21,42,26,22
014906,Mathematics,Race/Ethnicity,Black or African American,837,618,557,837,618,557,837,616,557
014906,Mathematics,Race/Ethnicity,Hispanic/Latino,921,682,625,921,682,625,923,680,623
014906,Mathematics,Race/Ethnicity,Other,346,263,249,346,263,249,345,261,249
014906,Mathematics,Race/Ethnicity,White,369,260,248,369,260,248,369,260,247
014906,Mathematics,Homeless,Homeless,50,20,20,50,20,20,51,21,20
014906,Mathematics,In Foster Care,In Foster Care,43,25,24,43,25,24,42,24,24
015822,Reading,Race/Ethnicity,Black or African American,9,9,9,NA,NA,NA,8,8,8
015822,Reading,Race/Ethnicity,Hispanic/Latino,351,270,244,351,270,244,351,270,244
015822,Reading,Race/Ethnicity,Other,16,7,7,16,NA,NA,16,6,6
015822,Reading,Race/Ethnicity,White,11,6,6,NA,NA,NA,11,6,4
015822,Reading,Homeless,Homeless,11,6,6,11,NA,NA,9,6,6
015822,Reading,In Foster Care,In Foster Care,5,3,2,NA,NA,NA,6,3,2
